,Sentence,Usage,Idiom,BetweenPOS,NumOfWordsBetween,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG
746,4 if the company shall within the period limit for acceptance find a purchaser or purchaser willing to purchase all the share concerned and shall give notice in write thereof to the proposing transferor he shall be bind upon payment of the prescribed price to transfer such share to the respective purchaser thereof,I,give_notice,[],0,VM0,CJC,PRP,VVG,3,53,0.40894594594594597
747,subject to the statement of pension policy which will be issue to the successful candidate the appointee will be deem to be in membership of the above pension scheme until such time as he or she give notice in write to exercise the right not to be a member of the scheme,I,give_notice,[],0,PNP,CJC,PRP,VVG,1,52,0.6468235294117647
748,it will be recall from chapter 3 that the partnership act provide that where no definite duration be set for the partnership any partner may retire by give he co-partner notice whereupon in the absence of any contrary agreement the firm be dissolve,I,give_notice,"['DPS', 'NN2']",2,PRP,VVI,CJS,PRP,1,43,0.3903600000000001
749,here they rely on the principle in the ticket case which require a reasonable attempt to give notice to a party of the existence of term and condition by which it be intend to bind he,I,give_notice,[],0,TO0,NN1,PRP,AT0,2,36,0.6807272727272727
750,notice of hearing n 247 be give by the court ord 13 r 2(3),I,give_notice,"['PRP', 'AT0', 'NN1', 'NN1', 'CRD', 'ZZ0']",6,VBZ,CRD,,,1,14,0.6912
751,notice of such adjournment or advancement be give by the court to all party who be not present when the order be make ord 13 r 3(2) it be common practice to send notice also to those party who be present n 232,I,give_notice,"['PRP', 'AT0', 'NN1', 'PRP', 'DT0', 'NN2', 'PNQ', 'VBD', 'XX0', 'AJ0', 'CJS', 'AT0', 'NN1', 'VBD', 'VVN', 'NN1', 'CRD', 'ZZ0', 'UNC', 'PNP', 'VBZ', 'AJ0', 'NN1', 'TO0', 'VVI']",25,VBZ,NN1,AV0,PRP,2,43,0.47752173913043483
752,the umpire give no notice to the party or they solicitor examine no witness but merely hear the statement of the two arbitrator and inspect the premise,I,give_notice,['AT0'],1,NN1,AT0,PRP,AT0,1,27,0.482904761904762
753,the court may grant leave on the written request alone or direct that a date be fix for hear in which case notice must be give to the applicant and other person as direct by the court fpcr r3(2) fpr r4.3(2),I,give_notice,"['PRP', 'AT0', 'NN1', 'CJC', 'AJ0', 'NN2', 'CJS', 'VVN', 'PRP', 'AT0', 'NN1', 'NP0', 'UNC', 'NP0']",14,VBI,VM0,,,2,41,0.4186818181818182
754,form cha 71 should be use to give notice of proceeding to anyone who be not also a respondent,I,give_notice,[],0,TO0,VVN,PRF,NN2,2,19,0.4686666666666668
755,the court may give direction or vary or revoke an existing direction at any stage in the proceeding provide that the party be give notice and an opportunity to attend and be hear or to make written representation,I,give_notice,[],0,VBB,NN2,CJC,AT0,2,38,0.3565652173913043
756,the reason before that date registration on a company 's file of such a mortgage have effect as if register as a land charge thus give notice to the world,I,give_notice,[],0,AV0,NN1,PRP,AT0,1,30,0.5111111111111111
757,c duty follow cancellation where notice have be give in the case of hire purchase or conditional sale transaction s72 generally place upon the debtor a legal duty to redeliver the goods subject to a lien for any part exchange goods tender by he s73(5),I,give_notice,"['PRP', 'AT0', 'NN1', 'PRF', 'NN1', 'NN1', 'CJC', 'AJ0', 'NN1', 'NN2', 'UNC', 'AV0', 'VVZ-NN2', 'PRP', 'AT0', 'NN1', 'AT0', 'AJ0', 'NN1', 'TO0', 'VVI', 'AT0', 'NN2', 'AJ0', 'PRP', 'AT0', 'NN1-AJ0', 'PRP', 'DT0', 'NN1', 'NN1', 'NN2', 'VVN', 'PRP', 'PNP']",35,VBN,VHZ,,,1,45,0.4172758620689656
758,after the plaintiff have fail to complete the work by that date the defendant continue to press for delivery but on 29 june give notice that if the work be not complete within a far four week he would cancel the order,I,give_notice,[],0,NP0,CRD,CJT,CJS,1,42,0.31892592592592584
759,erm and we have have i be afraid to give protective notice to six member of staff it be about er discussion with the erm tech be not successful then they will have to leave we at the end of this programme year which be the thirty-first of march,I,give_notice,['AJ0'],1,TO0,AJ0,PRP,CRD,1,49,0.5051111111111111
760,suddenly they come on cos they do not give as much notice they be a pain in the bum,I,give_notice,"['AV0', 'DT0']",2,XX0,VDB,PNP,VBB,1,19,0.35860000000000003
761,i do not give notice leith but in have get start on the honesty trail,I,give_notice,[],0,XX0,VDD,NP0,VVD,2,15,0.6004
762,and andy be give half a day 's notice,I,give_notice,"['DT0', 'AT0', 'NN1', 'POS']",4,VBD,NP0,,,1,9,0.55825
763,and the council 's housing department be ask tenant thinking of moving-on to help they make by give early notice of when they intend to leave,I,give_notice,['AJ0'],1,PRP,VVI,PRF,AVQ,1,26,0.5657058823529412
764,teesside magistrate be tell he have not enter plan with middlesbrough council have fail to give notice of work be carry out and have not make the foundation big enough or deep enough,I,give_notice,[],0,TO0,VVN,PRF,NN1,1,33,0.29640909090909084
765,so in 1877 the man at the middleton iron company be give they notice though they stubbornly cling to short-time employment until 1883 when the plant be shut down completely until 1897,I,give_notice,['DPS'],1,VBD,NN1,CJS,PNP,1,32,0.3199411764705883
766,sun alliance have give notice to national home loan that it be cancel it payment protection scheme at the end of the month,I,give_notice,[],0,VHZ,NN1,PRP,AJ0,1,23,0.4364999999999999
767,other have already give notice that they will quit the nhs altogether,I,give_notice,[],0,AV0,VHB,CJT,PNP,1,12,0.436
768,the company which sell a record 508 cattle through it electronic auction system europe franchise on thursday have give the necessary six month notice to the franchise-holding anm group aberdeen,I,give_notice,"['AT0', 'AJ0', 'CRD', 'NN2']",4,VHZ,NP0,PRP,AT0,1,30,0.3903333333333333
769,the new bill which go before parliament on november 16 say union will also have to give written notice to employer of every worker who will be call on to take industrial action,I,give_notice,['AJ0'],1,TO0,VHI,PRP,NN2,1,33,0.4167619047619047
770,give notice of the,Q,give_notice,[],0,,PRF,PRF,AT0,1,4,0.8465
771,no i have be here more than five year so they will have to give i five week 's notice,I,give_notice,"['PNP', 'CRD', 'NN1', 'POS']",4,TO0,VHI,,,2,20,0.23744444444444446
772,well i have get to give they forty eight hour notice,I,give_notice,"['PNP', 'CRD', 'CRD', 'NN2']",4,TO0,VVN,,,1,11,0.5786250000000001
773,before declare a dividend the trustee must give notice of he intention to do so to all creditor of whom he be aware or who be identify in the statement of affair who have not prove they debt r 11.2(1) and advertise he intention to declare a dividend unless he have previously invite creditor by advertisement to prove they debt r 11.2(1a),I,give_notice,[],0,VM0,NN1,PRF,DPS,3,62,0.4153714285714286
774,in any proceed in which no pre-trial review have be fix the district judge may nonetheless give notice to the party require they to appear before he on the day name in the notice so that the question of give direction may be consider ord 17 rr 10 and 11(4),I,give_notice,[],0,AV0,VM0,PRP,AT0,3,50,0.6317857142857142
775,the strike out be automatic as compare with ord 13 r 3(4) where the court have to give notice of intention to strike out where no action have be take for 12 month,I,give_notice,[],0,TO0,VHZ,PRF,NN1,2,33,0.22447619047619055
776,you be give i the sack sir she say with contempt,Q,give_sack,"['PNP', 'AT0']",2,VBB,PNP,NN1,PNP,1,11,0.2691666666666667
777,the bank can not have believe he they give he the sack,Q,give_sack,"['PNP', 'AT0']",2,PNP,PNP,,,1,12,0.5279999999999999
778,he come back two week later say that he have be give the sack,I,give_sack,['AT0'],1,VBN,VHZ,,,1,14,0.3533333333333333
779,it go to he head and the superintendent be terror and they could get rid of a man give he the sack like slap on they wrist,I,give_sack,"['PNP', 'AT0']",2,NN1,AT0,PRP,NN1,1,27,0.3499285714285715
780,because mean mr love he will give you the sack he will,I,give_sack,"['PNP', 'AT0']",2,VM0,PNP,PNP,VM0,1,12,0.6704
781,also give you the sack,Q,give_sack,"['PNP', 'AT0']",2,AV0,,,,1,5,0.5886666666666668
782,ricky be so furious with perdita for deliberately sabotage she scholarship that he give she the sack,I,give_sack,"['PNP', 'AT0']",2,PNP,CJT,,,1,17,0.16862500000000002
783,find a new childcarer be so traumatic that 80% of the mother survey admit they do not have the courage to give an inadequate nanny the sack immediately 60% of those who be unhappy carry on with they carer for a month and 35% for up to six month,I,give_sack,"['AT0', 'AJ0', 'NN1', 'AT0']",4,TO0,NN1,AV0,NN0,1,49,0.2884666666666667
784,graham taylor be hope that santa will not give away any goal to england 's world cup opponent or he might be give the sack,I,give_sack,['AT0'],1,VBI,VM0,,,1,25,0.3719166666666667
785,i have to take time off work which do not go down too well with the furniture store which employ i and i be promptly give the sack,I,give_sack,['AT0'],1,AV0,VBD,,,1,28,0.5001111111111111
786,be you give i the sack,Q,give_sack,"['PNP', 'AT0']",2,PNP,VBB,,,1,6,0.5886666666666668
787,mrs bosanquet might also have mention without stretch the point too far the wonderful convenience of be able to give these troublesome boy the sack at a moment 's notice,I,give_sack,"['DT0', 'AJ0', 'NN2', 'AT0']",4,TO0,AJ0,PRP,AT0,1,30,0.37449999999999994
788,they give i the sack,Q,give_sack,"['PNP', 'AT0']",2,PNP,,,,1,5,0.5886666666666668
789,they would give you two and a half sack as a quota for every day and if you do not manage it they do not pay you anything,L,give_sack,"['PNP', 'CRD', 'CJC', 'AT0', 'DT0']",5,VM0,PNP,PRP,AT0,1,28,0.41416666666666674
790,"sybaris have be destroy by it neighbour the man of kroton in 510 bc the mid-fifth-century recovery organize by athens coincide with a attested corn-shortage in mainland greece an egyptian pharaoh in revolt from persia give athens 40,000 sack of corn in the 440s",L,give_sack,"['NP0', 'CRD']",2,NP0,PRP,PRF,NN1,1,44,0.3521500000000001
791,that be a note he get from the editor the other day give he the sack,I,give_sack,"['PNP', 'AT0']",2,NN1,AJ0,,,1,16,0.5121111111111111
792,an he give i the sack,Q,give_sack,"['PNP', 'AT0']",2,PNP,AT0,,,1,6,0.5886666666666668
793,alyssia open she mouth to give he a piece of she mind at this far show of arrogance in fact to give he the sack because he mere presence here imply that he be work for she father and so in an indirect manner for herself but he do not allow she the chance,I,give_sack,"['PNP', 'AT0']",2,TO0,NN1,CJS,DPS,1,54,0.43541935483870964
794,he silence encourage she to be even more frank and look to where the moonlight catch the line of he strong jaw she say i know you appreciate the help i have give by step in to take stella 's place and for that reason i doubt that you would give i the sack or tell i to go,I,give_sack,"['PNP', 'AT0']",2,VM0,PNP,CJC,VVB,1,59,0.4570857142857143
795,i have well be get back or the foreman will be give i the sack,I,give_sack,"['PNP', 'AT0']",2,VBI,VM0,,,1,15,0.723625
796,i have be give the sack leith tell she shakily and over coffee give she a blow-by-blow account,I,give_sack,['AT0'],1,VBN,VHB,NP0,VVD,1,18,0.4018181818181818
797,you give she the sack she question quickly,Q,give_sack,"['PNP', 'AT0']",2,PNP,,PNP,VVD,2,8,0.539
798,i would say condition be a wee bit easier a wee bit you have a wee bit more freedom because they know they could not replace anybody if they give the sack,I,give_sack,['AT0'],1,PNP,CJS,,,2,32,0.55775
799,and if they do give you the sack you would be walk away to the army i expect,I,give_sack,"['PNP', 'AT0']",2,VDD,PNP,PNP,VM0,2,18,0.2556
800,would give she the sack,Q,give_sack,"['PNP', 'AT0']",2,VM0,,,,1,5,0.5886666666666668
801,so i go in and tell they and they have give i wrong sack,L,give_sack,"['PNP', 'AJ0']",2,VHD,PNP,,,1,14,0.2555714285714286
802,give you the sack just like that,Q,give_sack,"['PNP', 'AT0']",2,,PRP,AV0,PRP,1,7,0.47025000000000006
803,the middle of the month arrive with you really have a fling,I,have_fling,['AT0'],1,AV0,PNP,,,1,12,0.45775000000000005
804,he have have he little fling,I,have_fling,"['DPS', 'AJ0']",2,VHZ,PNP,,,1,6,0.19533333333333333
805,but plenty of people think it the height of irresponsibility to allocate آ£11 million to have a fling,I,have_fling,['AT0'],1,PRP,CRD,,,1,18,0.47825
806,in 1880 he have have a political fling and stand as a liberal candidate for the city of london in favour of disestablishment temperance legislation social and political reform,I,have_fling,"['AT0', 'AJ0']",2,VHD,PNP,CJC,VVD,1,29,0.41289473684210526
807,an errand boy must have he fling you know,I,have_fling,['DPS'],1,VM0,NN1,PNP,VVB,1,9,0.38275
808,first however we have to let the birthday boy have he fling,I,have_fling,['DPS'],1,NN1,NN1,,,1,12,0.6105
809,i think it be he birthday party so he have a fling,I,have_fling,['AT0'],1,PNP,CJS,,,1,12,0.8035000000000001
810,everyone claim to know some young stud who have a fling with cindy before she leave dekalb but none can produce name,I,have_fling,['AT0'],1,PNQ,NN1,PRP,NP0,1,22,0.3599
811,former us open winner gabriela 22 have a brief fling with french tennis heart-throb henri leconte,I,have_fling,"['AT0', 'AJ0']",2,CRD,NP0-NN1,PRP,AJ0,1,16,0.288
812,he have a real fling,I,have_fling,"['AT0', 'AJ0']",2,PNP,,,,1,5,0.414
813,elsewhere in the lake the tourist industry be have a last determined autumn fling but not here not in this quiet and relatively undiscovered cul-de-sac,I,have_fling,"['AT0', 'ORD', 'AJ0', 'NN1']",4,VBD,NN1,CJC,XX0,1,25,0.34126666666666666
814,have a fling with barb be not faithlessness say constance who have be concentrate on this very matter for she own reason,I,have_fling,['AT0'],1,,DT0,PRP,NN2,1,22,0.312
815,we have have the odd fling even while she be supposed to be engage to he the night of the fire be when we start it,I,have_fling,"['AT0', 'AJ0']",2,VHD,PNP,AV0,CJS,1,26,0.5436923076923077
816,she critic and they will be many will say all this be at good manufactured recollection the distorted memory of a bitter and angry woman who have she fling with a priest and have pay the price,I,have_fling,['DPS'],1,PNQ,NN1,PRP,AT0,1,37,0.44649999999999995
817,i have a fling with someone when i be at college but that be the only occasion,I,have_fling,['AT0'],1,PNP,,PRP,PNI,1,17,0.16240000000000002
818,one of the raf station schedule to closedown as a result of the peace dividend be have a final glorious fling this week,I,have_fling,"['AT0', 'AJ0', 'AJ0']",3,VBZ,NN1,DT0,NN1,1,23,0.45266666666666666
819,the south west vineyard association be have it annual fling and check the competition as well,I,have_fling,"['DPS', 'AJ0']",2,VBD,NN1,CJC,VVG,1,16,0.46222222222222226
820,well sex mainly and the mistaken male view that woman dream of have a wild and torrid fling in the afore-mentioned potting shed with someone who spend more time with mulch and manure than gillette shower gel,I,have_fling,"['AT0', 'AJ0', 'CJC', 'AJ0']",4,PRF,NN1-VVB,PRP,AT0,1,37,0.3892857142857144
821,to suggest however that these be all wrinkly dust off the cobweb to have one final fling before a tranquil retirement would be a serious misapprehension,I,have_fling,"['CRD', 'AJ0']",2,TO0,NN2,CJS,AT0,1,26,0.010933333333333344
822,she husband be have an on-off fling which he do not openly admit but take little trouble to disguise,I,have_fling,"['AT0', 'AJ0']",2,VBZ,NN1,DTQ,PNP,1,19,0.3922000000000001
823,not because he do not love she any more it be cos he be have this fling with this diane,I,have_fling,['DT0'],1,VBZ,PNP,PRP,DT0,1,20,0.7963333333333332
824,she have a great future ahead of she and will undoubtedly improve as here serve and volley do,I,have_future,"['AT0', 'AJ0']",2,PNP,,AV0,PRF,1,18,0.2561
825,the canadian model have a curious corollary which be to have an unhappy future extend almost down to the present day,I,have_future,"['AT0', 'AJ0']",2,TO0,VBD,VVG,AV0,1,21,0.46493333333333337
826,a simple education no country in the world have a future without it,I,have_future,['AT0'],1,NN1,AT0,PRP,PNP,1,13,0.305
827,a mutiny against the rowing establishment last summer by oarsman be coach by he be patch up in time for the world championship in yugoslavia but at the end of the championship spracklen declare that he have no future in british rowing,I,have_future,['AT0'],1,PNP,CJT,PRP,AJ0,1,42,0.41658333333333336
828,some researcher think the stm may have a more distant future not just analyse molecule and microcircuit but help to make they,I,have_future,"['AT0', 'AV0', 'AJ0']",3,VM0,NN1,XX0,AV0,1,22,0.35241666666666666
829,i have no future,I,have_future,['AT0'],1,PNP,,,,1,4,-0.11349999999999999
830,and i keep tell he yeah oliver but the day that you know some nicaraguan unity group appear and it be evident that it have get everybody in it that be the day i will begin to believe that this thing have a future,I,have_future,['AT0'],1,NN1,DT0,,,1,44,0.43895238095238087
831,martin tweedle head of heckmondwike grammar kirklees be under no illusion if labour 's manifesto be to be believe we do not really have a future,I,have_future,['AT0'],1,AV0,XX0,,,1,26,0.1882
832,the sale have the complete support of the wellcome board and john robb chief executive of wellcome say that the board believe wellcome have an excellent future as an independent global pharmaceutical group,I,have_future,"['AT0', 'AJ0']",2,NP0,VVD,PRP,AT0,1,33,0.5229565217391304
833,he miss just one game that season because of a dose of flu and be regard as have a fine future,I,have_future,"['AT0', 'AJ0']",2,CJS,VVN,,,1,21,-0.06923076923076922
834,he add educationally the school seem to have a future,I,have_future,['AT0'],1,TO0,VVZ,,,1,10,0.44799999999999995
835,a brave risk-taker who be young enough to have a big future,I,have_future,"['AT0', 'AJ0']",2,TO0,AV0,,,1,12,0.47214285714285714
836,some east berlin enterprise though grotesquely overman under the old regime have good technology and promising future,I,have_future,"['AJ0', 'NN1', 'CJC', 'AJ0']",4,NN1,AJ0,,,1,17,0.03609090909090909
837,it be then i begin to believe i might have a future as an artist,I,have_future,['AT0'],1,VM0,PNP,PRP,AT0,1,15,0.15900000000000003
838,we have no future together,I,have_future,['AT0'],1,PNP,,AV0,,1,5,-0.034999999999999996
839,he have the potential to have a very bright future in the game,I,have_future,"['AT0', 'AV0', 'AJ0']",3,TO0,NN1,PRP,AT0,1,13,0.31599999999999995
840,the sensitive girl have a bright future after kissing and make up he add,I,have_future,"['AT0', 'AJ0']",2,NN1,AJ0,PRP-CJS,NN1-VVG,1,14,0.21455555555555558
841,move out certainly shape as though he have a future at the winter game on he reappearance in a very hot race over two mile at haydock early in the month,I,have_future,['AT0'],1,PNP,CJS,PRP,AT0,1,31,-0.12339999999999998
842,ferguson believe the unwanted break have benefit a player who still only 21 have a great future,I,have_future,"['AT0', 'AJ0']",2,CRD,AV0,,,1,17,-0.055
843,if as it seem the mere sight of a policeman be enough to deter many potential law breaker then sam short for speed and aggression moderator look likely to have a successful future,I,have_future,"['AT0', 'AJ0']",2,TO0,AJ0,,,1,33,0.38785714285714284
844,do building society have a future,I,have_future,['AT0'],1,NN2,NN1,,,1,6,0.15360000000000001
845,with we long tradition of effective management and careful attention to quality we have a bright future as an independent company,I,have_future,"['AT0', 'AJ0']",2,PNP,NN1,PRP,AT0,1,21,0.5105
846,they feel that they have no future towards which to strive,I,have_future,['AT0'],1,PNP,CJT,PRP,DTQ,1,11,0.2898
847,i do not envy they they individual future which seem dull or trivial to i but i do envy the fact they have future at all whereas i have none or at least not one to which i could look forward with any confidence,I,have_future,[],0,PNP,NN1,PRP,DT0,2,44,0.07136363636363639
848,chris have such a bright future,I,have_future,"['DT0', 'AT0', 'AJ0']",3,NP0,,,,1,6,0.229
849,no disrespect to grimsby they be a good club and a fine footballing side but i still believe i have a future at the high level he say yesterday,I,have_future,['AT0'],1,PNP,VVB,PRP,AT0,1,29,0.11793333333333332
850,because of the money the walk raise kid like i daughter have a future,I,have_future,['AT0'],1,NN1,DPS,,,1,14,0.4526
851,he be a great leader and although he have do so much he still have a great future in front of he,I,have_future,"['AT0', 'AJ0']",2,AV0,PNP,PRP,NN1,1,22,0.22725000000000006
852,the side have also weld together emotionally and some of the player who go to argentina have a great future in the game,I,have_future,"['AT0', 'AJ0']",2,NP0,PRP,PRP,AT0,1,23,0.3757058823529413
853,we never have a future,I,have_future,['AT0'],1,AV0,PNP,,,1,5,-0.11349999999999999
854,the society 's vision of the sort of institution it would like to be in the future if it have a future be another problem,I,have_future,['AT0'],1,PNP,CJS,VBZ,DT0,2,25,0.26799999999999996
855,broadly-based company without differentiated product have no future he say,I,have_future,['AT0'],1,NN2,AJ0,PNP,VVZ,1,10,-0.015499999999999995
856,if it fail to get it finance in order greece have a black future,I,have_future,"['AT0', 'AJ0']",2,NP0,NN1,,,1,14,0.026999999999999986
857,in the circumstance bosnia 's government seem to have no future,I,have_future,['AT0'],1,TO0,VVZ,,,1,11,0.3825714285714286
858,on the other side be the manager of enterprise who think they have a commercial future,I,have_future,"['AT0', 'AJ0']",2,PNP,VVB,,,2,16,0.348
859,that they do have a secure future together,I,have_future,"['AT0', 'AJ0']",2,VDB,PNP,AV0,,1,8,0.1696
860,scottish tv come first launch on the enthusiasm of roy thomson who have difficulty con-vince scottish backer that itv have a bright future,I,have_future,"['AT0', 'AJ0']",2,NP0,CJT,,,1,23,0.3682857142857143
861,consequently readmission have little future as a general indicator of outcome even though the increasing ease with which this index may be calculate by use computerized patient admission data base/basis be a strong attraction,I,have_future,['DT0'],1,NN1,AV0,PRP,AT0,1,34,0.27955555555555556
862,the reason i be here be i have be friend with jake ever since we meet over a beer or three in germany during i jam day i admire he as a lyricist and i think the group have a valid future,I,have_future,"['AT0', 'AJ0']",2,NN1,AT0,,,1,42,0.37665000000000004
863,and the general tenor of he appraisal of the history of the movement after the pioneer be that producer co-operation have be a vexatious distraction and would have little worthwhile future,I,have_future,"['DT0', 'AJ0']",2,VM0,CJC,,,1,31,0.395904761904762
864,have pass seven cse be at school she say i reckon that if i have a future then computer study be where it would be,I,have_future,['AT0'],1,PNP,CJS,AV0,NN1,1,25,0.2864
865,they say he could have a future when he be finish he study,I,have_future,['AT0'],1,VM0,PNP,CJS,PNP,1,13,0.1252
866,in say this i be say little more than that history more or less as we have know it will continue in the future if humanity have a future,I,have_future,['AT0'],1,NN1,CJS,,,2,29,0.052199999999999996
867,i be perfectly certain indeed i do not think any one can doubt this that we party on the old line will never have any future again in this country,I,have_future,['DT0'],1,AV0,VM0,AV0,PRP,1,30,0.35300000000000004
868,i be not sure that you will agree with i but i have no doubt about it we parry on the old line will have no future in the life of this country hear hear,I,have_future,['AT0'],1,VM0,NN2,PRP,AT0,2,35,0.3481764705882353
869,the convent high school thus have no independent future and indeed discussion have already take place with the local authority for the possible redevelopment of the site,I,have_future,"['AT0', 'AJ0']",2,AV0,NN1,CJC,AV0,1,27,0.4371739130434783
870,there be no longer any need to ask whether the whole discipline of criticism have a future,I,have_future,['AT0'],1,NN1,PRF,,,1,17,0.5835454545454546
871,those who have to live with the legacy of cold war do not necessarily have a future that be any clear or simple than those who inherit the remains of hitler 's europe four and a half decade early,I,have_future,['AT0'],1,AV0,XX0,CJT-DT0,VBD,1,39,0.4043750000000001
872,they tell i i have an academic future a considerable future,I,have_future,"['AT0', 'AJ0']",2,PNP,PNP,AT0,AJ0,2,11,-0.3235
873,it be the scientist not the literary intellectual as c. p. snow remind we who have the future in they bone,I,have_future,['AT0'],1,PNQ,PNP,PRP,DPS,1,21,0.4729166666666667
874,it be not easy to see the future for the art of jewellery it may even be consider that as an art it have not a future,I,have_future,"['XX0', 'AT0']",2,PNP,NN1,,,2,27,0.31964285714285723
875,paramagnetic material be unimportant from an engineering point of view and diamagnetic material may have a future the present however belong to the ferromagnetic group and above all to the most important representative of the group the various alloy of iron,I,have_future,['AT0'],1,VM0,NN2,AT0,NN1,1,41,0.42683333333333345
876,you also know that when a company like hewlett-packard announce that inkjet technology be the large research and development project it have ever undertake except for risc processor the technology have a bright future,I,have_future,"['AT0', 'AJ0']",2,NN1,AT0,,,1,34,0.29657894736842105
877,and you know the objective for we be to see where we be go to be able to encourage we staff to realize that as a that we have a future,I,have_future,['AT0'],1,PNP,CJT,,,1,31,0.42656249999999996
878,we most successful player at peachtree be eoghan o'connell a young irishman who have a future which ought to be the equal of claydon 's,I,have_future,['AT0'],1,PNQ,NN1,DTQ,VM0,1,25,0.4274
879,that we be really talk about the re the reign of god and how in fact god 's plan be not in operation with people starving and people have not a future they c they can anticipate,I,have_future,"['XX0', 'AT0']",2,NN0,CJC,PNP,UNC,1,37,0.30575
880,he have a future she remark and i have a past so we should be all right,I,have_future,['AT0'],1,PNP,,PNP,VVD,1,17,0.1132857142857143
881,he leave school in manchester to go into training as a farmer but after three year decide that he have no future in farming,I,have_future,['AT0'],1,PNP,CJT,PRP,NN1,1,24,0.11346666666666669
882,maybe i have a big faggot future,I,have_future,"['AT0', 'AJ0', 'NN1']",3,PNP,AV0,,,1,7,-0.058600000000000006
883,do not look so wistful there will be another time for bamburgh he say quietly and she wonder why he be talk as if they have a future together,I,have_future,['AT0'],1,PNP,CJS,AV0,,1,29,0.2934166666666666
884,be design by a small three-man team financial and organizational support need to be forthcoming if bso be to have an assured future,I,have_future,"['AT0', 'AJ0']",2,TO0,VBZ,,,2,23,0.2881538461538462
885,i be confident scottish nuclear have a long-term future and that it will continue to be one of scotland 's good engineering company,I,have_future,"['AT0', 'AJ0']",2,AJ0,AJ0,CJC,CJT,1,23,0.3593333333333333
886,we be determine to ensure that nuclear generation have a significant future within an integrated and balanced energy policy,I,have_future,"['AT0', 'AJ0']",2,NN1,AJ0,PRP,AT0,1,19,0.1488333333333333
887,mr denton go on to explain that the traditional heavy railway may not have a future except for journey between the main population centre,I,have_future,['AT0'],1,XX0,VM0,CJS,PRP,2,24,0.2975294117647059
888,like the unit in pembrokeshire it have do that because it believe that it can satisfy the secretary of state on four point first that such a move would show benefit for patient secondly that it would improve management capability thirdly that clinician would be involved in management and fourthly that the trust have a future of financial soundness,I,have_future,['AT0'],1,NN1,AT0,PRF,AJ0,1,59,0.42712500000000003
889,we have make it absolutely clear that we be determine that plymouth should have a good future,I,have_future,"['AT0', 'AJ0']",2,VM0,NP0,,,1,17,0.40299999999999997
890,hon. member tell we that rural service emergency service call box and provision for the blind and disabled would all have an uncertain future under privatisation yet in each case the future have be good thanks to the privatised industry and the regulatory world that we have create,I,have_future,[],0,PNP,CJT,,,2,48,0.16663636363636367
891,we have a common economic future in this world and we all share that too,I,have_future,"['AT0', 'AJ0', 'AJ0']",3,PNP,,PRP,DT0,1,15,0.222
892,i be sure that they will have a tremendous future,I,have_future,"['AT0', 'AJ0']",2,VM0,PNP,,,1,10,0.25925000000000004
893,it therefore have a long-term future,I,have_future,"['AT0', 'AJ0']",2,AV0,PNP,,,1,6,-0.11349999999999999
894,they have no future because of the policy of the government,I,have_future,['AT0'],1,PNP,,CJS,PRF,1,11,0.46125
895,only an agriculture industry set free within the framework of market force operate more closely to supply and demand will have a secure and prosperous future,I,have_future,"['AT0', 'AJ0', 'CJC', 'AJ0']",4,VM0,NN1-VVB,,,1,26,0.28421052631578947
896,british coal have an excellent future,I,have_future,"['AT0', 'AJ0']",2,NN1,AJ0,,,1,6,-0.06575
897,defensively too donegal be often a shambles leave donal reid and martin shovlin to ponder if they still have a future at this level,I,have_future,['AT0'],1,AV0,PNP,PRP,DT0,1,24,0.197
898,i be rather devastate when she tell i she be move to crieff as she make major contribution to the work of the library here she have a long-term future and she personality make many friend for the library among we user,I,have_future,"['AT0', 'AJ0']",2,PNP,AV0,CJC,DPS,1,42,0.32365217391304346
899,express he backing for rafsanjani 's presidential candidacy on may 7 1989 khamenei declare that rafsanjani 's candidacy revive the hope that we nation will have a much bright future ahead of it,I,have_future,"['AT0', 'AV0', 'AJC']",3,VM0,NN1,AV0,PRF,1,33,0.3775294117647059
900,we have the future in we hand,I,have_future,['AT0'],1,PNP,,PRP,DPS,1,7,0.30700000000000005
901,and he say if rocastle feel he have no future at leeds he should ask for a transfer,I,have_future,['AT0'],1,PNP,VVD,PRP,NP0,1,18,0.3195714285714285
902,if he seriously think he have no future at leeds united then he have the right to move,I,have_future,['AT0'],1,PNP,VVZ,PRP,NP0,1,18,0.3685555555555556
903,if i take on an artist for example i need to think they will have a future,I,have_future,['AT0'],1,VM0,PNP,,,1,17,0.30088888888888893
904,this argument will only fail to apply to two close-together point on the same vertical line = constant such point will have converging future but distinct past,I,have_future,['AJ0'],1,VM0,NN2,CJC,AJ0,1,27,0.10026315789473685
905,if electric car be go to have a significant future we have to find a clean way to generate electricity,I,have_future,"['AT0', 'AJ0']",2,TO0,VVG,PNP,VHB,1,20,0.48846666666666677
906,environmentalist support to some extent by bush 's democrat opponent bill clinton counter that the logging industry have no long-term future due to the rapid depletion of the forest,I,have_future,"['AT0', 'AJ0']",2,NN1,NN1,AJ0,PRP,1,29,0.24719047619047624
907,then she would find she pride and not indulge in this kind of behaviour when it have no future,I,have_future,['AT0'],1,PNP,CJS,,,1,19,0.339625
